52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
15:58:15.3 (15030518)|VARIABLE_ASSIGNMENT|[4]|this.Name|"Test Account 1"|0x1f59b14
15:58:15.3 (15062595)|VARIABLE_SCOPE_BEGIN|[4]|acc1|Account|true|false
15:58:15.3 (15117639)|VARIABLE_ASSIGNMENT|[4]|acc1|{"Name":"Test Account 1"}|0x1f59b14
15:58:15.3 (15133311)|STATEMENT_EXECUTE|[5]
15:58:15.3 (15191404)|HEAP_ALLOCATE|[5]|Bytes:8
15:58:15.3 (15224718)|DML_BEGIN|[5]|Op:Insert|Type:Account|Rows:1
15:58:15.3 (15263520)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:58:15.3 (91733472)|DML_END|[5]
15:58:15.3 (91773914)|STATEMENT_EXECUTE|[7]
15:58:15.3 (91849733)|HEAP_ALLOCATE|[7]|Bytes:4
15:58:15.3 (91979166)|HEAP_ALLOCATE|[7]|Bytes:24
15:58:15.3 (92043107)|VARIABLE_ASSIGNMENT|[7]|this.Name|"Chemise Verte longue (4 more) ..."|0x1e366b0c
15:58:15.3 (92055942)|HEAP_ALLOCATE|[7]|Bytes:7
15:58:15.3 (92076193)|VARIABLE_ASSIGNMENT|[7]|this.Family|"Chemise"|0x1e366b0c
15:58:15.3 (92110851)|VARIABLE_SCOPE_BEGIN|[7]|pd1|Product2|true|false
15:58:15.3 (92141311)|VARIABLE_ASSIGNMENT|[7]|pd1|{"Name":"Chemise Verte longue (4 more) ...","Family":"Chemise"}|0x1e366b0c
15:58:15.3 (92153647)|STATEMENT_EXECUTE|[8]
15:58:15.3 (92184933)|HEAP_ALLOCATE|[8]|Bytes:8
15:58:15.3 (92204176)|DML_BEGIN|[8]|Op:Insert|Type:Product2|Rows:1
15:58:15.3 (92243657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:58:15.3 (124650968)|DML_END|[8]
15:58:15.3 (124684418)|STATEMENT_EXECUTE|[11]
15:58:15.3 (124744871)|HEAP_ALLOCATE|[11]|Bytes:4
15:58:15.3 (124859275)|HEAP_ALLOCATE|[12]|Bytes:74
15:58:15.3 (124902939)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
15:58:15.3 (124912345)|STATEMENT_EXECUTE|[1]
15:58:15.3 (124925215)|SYSTEM_METHOD_EXIT|[1]|Test
15:58:15.3 (124998880)|METHOD_ENTRY|[12]||System.Test.getStandardPricebookId()
15:58:15.3 (129146236)|METHOD_EXIT|[12]||System.Test.getStandardPricebookId()
15:58:15.3 (129414782)|VARIABLE_ASSIGNMENT|[11]|this.Pricebook2Id|"01s7Q000001IpDUQA0"|0x48a12c69
15:58:15.3 (129562166)|VARIABLE_ASSIGNMENT|[11]|this.Product2Id|"01t7Q000000h4i6QAA"|0x48a12c69
15:58:15.3 (129656850)|HEAP_ALLOCATE|[11]|Bytes:28
15:58:15.3 (129727769)|VARIABLE_ASSIGNMENT|[11]|this.UnitPrice|1020|0x48a12c69
15:58:15.3 (129793504)|VARIABLE_ASSIGNMENT|[11]|this.IsActive|true|0x48a12c69
15:58:15.3 (129865177)|VARIABLE_SCOPE_BEGIN|[11]|pbe|PricebookEntry|true|false
15:58:15.3 (129969804)|VARIABLE_ASSIGNMENT|[11]|pbe|{"Pricebook2Id":"01s7Q000001IpDUQA0","Product2Id":"01t7Q000000h4i6QAA","UnitPrice":1020,"IsActive":true}|0x48a12c69
15:58:15.3 (130006419)|STATEMENT_EXECUTE|[17]
15:58:15.3 (130077233)|HEAP_ALLOCATE|[17]|Bytes:8
15:58:15.3 (130119169)|DML_BEGIN|[17]|Op:Insert|Type:PricebookEntry|Rows:1
15:58:15.3 (130206775)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:58:15.3 (160897226)|DML_END|[17]
15:58:15.3 (160955125)|STATEMENT_EXECUTE|[20]
15:58:15.3 (161055845)|HEAP_ALLOCATE|[20]|Bytes:4
15:58:15.3 (161329763)|VARIABLE_ASSIGNMENT|[20]|this.AccountId|"0017Q0000034NoYQAU"|0x5dcdf44d
15:58:15.3 (161529627)|HEAP_ALLOCATE|[20]|Bytes:4
15:58:15.3 (161641898)|VARIABLE_ASSIGNMENT|[20]|this.EffectiveDate|"2021-11-09T00:00:00.000Z"|0x5dcdf44d
15:58:15.3 (161664269)|HEAP_ALLOCATE|[20]|Bytes:5
15:58:15.3 (161703184)|VARIABLE_ASSIGNMENT|[20]|this.Status|"Draft"|0x5dcdf44d
15:58:15.3 (161777311)|VARIABLE_ASSIGNMENT|[20]|this.Pricebook2Id|"01s7Q000001IpDUQA0"|0x5dcdf44d
15:58:15.3 (161834679)|VARIABLE_SCOPE_BEGIN|[20]|o1|Order|true|false
15:58:15.3 (161910385)|VARIABLE_ASSIGNMENT|[20]|o1|{"AccountId":"0017Q0000034NoYQAU","EffectiveDate":"2021-11-09T00:00:00.000Z","Status":"Draft","Pricebook2Id":"01s7Q000001IpDUQA0"}|0x5dcdf44d
15:58:15.3 (161929345)|STATEMENT_EXECUTE|[22]
15:58:15.3 (161964276)|HEAP_ALLOCATE|[22]|Bytes:8
15:58:15.3 (161989847)|DML_BEGIN|[22]|Op:Insert|Type:Order|Rows:1
15:58:15.3 (162034918)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:58:15.3 (199138325)|DML_END|[22]
15:58:15.3 (199176419)|STATEMENT_EXECUTE|[24]
15:58:15.3 (199223063)|HEAP_ALLOCATE|[24]|Bytes:4
15:58:15.3 (199395542)|VARIABLE_ASSIGNMENT|[24]|this.OrderId|"8017Q000000bmLfQAI"|0x587f479f
15:58:15.3 (199442710)|VARIABLE_ASSIGNMENT|[24]|this.PricebookEntryId|"01u7Q0000010dBmQAI"|0x587f479f
15:58:15.3 (199485419)|HEAP_ALLOCATE|[24]|Bytes:28
15:58:15.3 (199492649)|HEAP_ALLOCATE|[24]|Bytes:28
15:58:15.3 (199518545)|VARIABLE_ASSIGNMENT|[24]|this.Quantity|10|0x587f479f
15:58:15.3 (199530197)|HEAP_ALLOCATE|[24]|Bytes:28
15:58:15.3 (199549554)|VARIABLE_ASSIGNMENT|[24]|this.UnitPrice|150|0x587f479f
15:58:15.3 (199580202)|VARIABLE_SCOPE_BEGIN|[24]|oi1|OrderItem|true|false
15:58:15.3 (199611805)|VARIABLE_ASSIGNMENT|[24]|oi1|{"OrderId":"8017Q000000bmLfQAI","PricebookEntryId":"01u7Q0000010dBmQAI","Quantity":10,"UnitPrice":150}|0x587f479f
15:58:15.3 (199624795)|STATEMENT_EXECUTE|[25]
15:58:15.3 (199652514)|HEAP_ALLOCATE|[25]|Bytes:8
15:58:15.3 (199671224)|DML_BEGIN|[25]|Op:Insert|Type:OrderItem|Rows:1
15:58:15.3 (199721494)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:58:15.3 (262656180)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Order
15:58:15.3 (267299422)|CODE_UNIT_FINISHED|Workflow:Order
15:58:15.3 (272383646)|DML_END|[25]
15:58:15.3 (272416113)|STATEMENT_EXECUTE|[26]
15:58:15.3 (272440572)|HEAP_ALLOCATE|[26]|Bytes:4
15:58:15.3 (272511387)|VARIABLE_ASSIGNMENT|[26]|this.OrderId|"8017Q000000bmLfQAI"|0x5bf6d5f1
15:58:15.3 (272535709)|VARIABLE_ASSIGNMENT|[26]|this.PricebookEntryId|"01u7Q0000010dBmQAI"|0x5bf6d5f1
15:58:15.3 (272555027)|HEAP_ALLOCATE|[26]|Bytes:28
15:58:15.3 (272573870)|VARIABLE_ASSIGNMENT|[26]|this.Quantity|20|0x5bf6d5f1
15:58:15.3 (272583117)|HEAP_ALLOCATE|[26]|Bytes:28
15:58:15.3 (272597583)|VARIABLE_ASSIGNMENT|[26]|this.UnitPrice|1000|0x5bf6d5f1
15:58:15.3 (272624803)|VARIABLE_SCOPE_BEGIN|[26]|oi2|OrderItem|true|false
15:58:15.3 (272653803)|VARIABLE_ASSIGNMENT|[26]|oi2|{"OrderId":"8017Q000000bmLfQAI","PricebookEntryId":"01u7Q0000010dBmQAI","Quantity":20,"UnitPrice":1000}|0x5bf6d5f1
15:58:15.3 (272663380)|STATEMENT_EXECUTE|[27]
15:58:15.3 (272690625)|HEAP_ALLOCATE|[27]|Bytes:8
15:58:15.3 (272706671)|DML_BEGIN|[27]|Op:Insert|Type:OrderItem|Rows:1
15:58:15.3 (272740999)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:58:15.3 (306112090)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Order
15:58:15.3 (306157250)|CODE_UNIT_FINISHED|Workflow:Order
15:58:15.3 (311458266)|DML_END|[27]
15:58:15.3 (311487928)|STATEMENT_EXECUTE|[29]
15:58:15.3 (311498540)|HEAP_ALLOCATE|[29]|Bytes:9
15:58:15.3 (311570574)|VARIABLE_ASSIGNMENT|[29]|this.Status|"Activated"|0x5dcdf44d
15:58:15.3 (311580655)|STATEMENT_EXECUTE|[30]
15:58:15.3 (311616581)|HEAP_ALLOCATE|[30]|Bytes:8
15:58:15.3 (311632510)|DML_BEGIN|[30]|Op:Update|Type:Order|Rows:1
15:58:15.3 (311663015)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:58:15.3 (334122691)|DML_END|[30]
15:58:15.3 (334159079)|STATEMENT_EXECUTE|[37]
15:58:15.3 (334235663)|HEAP_ALLOCATE|[37]|Bytes:4
15:58:15.3 (334398378)|VARIABLE_SCOPE_BEGIN|[37]|l1|List<Order>|true|false
15:58:15.3 (334415058)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:58:15.3 (334432481)|VARIABLE_ASSIGNMENT|[37]|l1|[]|0xc4c1c67
15:58:15.3 (334442527)|STATEMENT_EXECUTE|[38]
15:58:15.3 (334499448)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:58:15.3 (334510407)|STATEMENT_EXECUTE|[41]
15:58:15.3 (341588420)|HEAP_ALLOCATE|[41]|Bytes:6
15:58:15.3 (341640872)|METHOD_ENTRY|[1]|01p7Q000001fQzc|AP01Account.AP01Account()
15:58:15.3 (341651984)|STATEMENT_EXECUTE|[1]
15:58:15.3 (341659574)|STATEMENT_EXECUTE|[1]
15:58:15.3 (342320402)|SYSTEM_MODE_ENTER|false
15:58:15.3 (342441604)|HEAP_ALLOCATE|[41]|Bytes:5
15:58:15.3 (342489156)|SYSTEM_MODE_EXIT|false
15:58:15.3 (342535345)|METHOD_EXIT|[1]|AP01Account
15:58:15.3 (342628590)|METHOD_ENTRY|[41]|01p7Q000001fQzc|AP01Account.ChiffreAffaire(Account, List<Order>)
15:58:15.3 (342693395)|VARIABLE_SCOPE_BEGIN|[18]|thisAccount|Account|true|false
15:58:15.3 (342724642)|VARIABLE_ASSIGNMENT|[18]|thisAccount|{"Name":"Test Account 1","Id":"0017Q0000034NoYQAU"}|0x1f59b14
15:58:15.3 (342763160)|VARIABLE_SCOPE_BEGIN|[18]|ords|List<Order>|true|false
15:58:15.3 (342804068)|VARIABLE_ASSIGNMENT|[18]|ords|[{"AccountId":"0017Q0000034NoYQAU","EffectiveDate":"2021-11-09T00:00:00.000Z","Status":"Activated","Pricebook2Id":"01s7Q000001IpDUQA0","Id":"8017Q000000bmLfQAI"}]|0xc4c1c67
15:58:15.3 (342834871)|SYSTEM_MODE_ENTER|false
15:58:15.3 (342843617)|HEAP_ALLOCATE|[20]|Bytes:5
15:58:15.3 (342852362)|STATEMENT_EXECUTE|[18]
15:58:15.3 (343032240)|HEAP_ALLOCATE|[20]|Bytes:5
15:58:15.3 (343067856)|HEAP_ALLOCATE|[20]|Bytes:24
15:58:15.3 (343079265)|VARIABLE_SCOPE_BEGIN|[20]|ord|Order|true|false
15:58:15.3 (343114266)|VARIABLE_ASSIGNMENT|[20]|ord|{"AccountId":"0017Q0000034NoYQAU","EffectiveDate":"2021-11-09T00:00:00.000Z","Status":"Activated","Pricebook2Id":"01s7Q000001IpDUQA0","Id":"8017Q000000bmLfQAI"}|0x5dcdf44d
15:58:15.3 (343126652)|STATEMENT_EXECUTE|[20]
15:58:15.3 (343532283)|HEAP_ALLOCATE|[20]|Bytes:5
15:58:15.3 (367326071)|HEAP_DUMP|[21]|07n7Q0000008ORZ|AP01Account|none|21
15:58:15.3 (367364213)|STATEMENT_EXECUTE|[21]
15:58:15.3 (367521108)|HEAP_ALLOCATE|[21]|Bytes:41
15:58:15.3 (367552831)|SYSTEM_MODE_EXIT|false
15:58:15.3 (367570633)|METHOD_EXIT|[41]|01p7Q000001fQzc|AP01Account.ChiffreAffaire(Account, List<Order>)
15:58:15.3 (367758119)|FATAL_ERROR|System.NullPointerException: Attempt to de-reference a null object

Class.AP01Account.ChiffreAffaire: line 21, column 1
Class.testUpdateAccountCA.test: line 41, column 1
15:58:15.3 (367788196)|FATAL_ERROR|System.NullPointerException: Attempt to de-reference a null object

Class.AP01Account.ChiffreAffaire: line 21, column 1
Class.testUpdateAccountCA.test: line 41, column 1
15:58:15.367 (367819322)|CUMULATIVE_LIMIT_USAGE
15:58:15.367 (367819322)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 7 out of 150
  Number of Publish Immediate DML: 0 out of 150
  Number of DML rows: 7 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

15:58:15.367 (367819322)|CUMULATIVE_LIMIT_USAGE_END

15:58:15.3 (367945994)|CODE_UNIT_FINISHED|testUpdateAccountCA.test()
15:58:15.3 (367972170)|EXECUTION_FINISHED
